date,wind_speed_100m,wind_speed_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,wind_direction_100m_sin,wind_direction_100m_cos,wind_direction_10m_sin,wind_direction_10m_cos
2020-04-01 00:00:00,20.466246,8.534353,15.84,1026.8877,0.7435,0.0,0.0,0.0,86.47223,0.0,0.0,1.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.6332376165092652,0.773957441360741,0.4640056903495481,0.8858322184946985
2020-04-01 01:00:00,18.947083,7.729527,14.759999,1026.387,0.3435,0.0,0.0,0.0,88.35573,0.0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.6270095288705321,0.7790115857325572,0.4657450489672824,0.8849189507307795
2020-04-01 02:00:00,17.84816,6.9247384,13.32,1025.8862,-0.20650001,0.0,0.0,0.0,89.945694,0.0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.6656137388055453,0.7462964228195813,0.4678864088153825,0.8837886107242188
2020-04-01 03:00:00,15.782622,5.991594,11.879999,1025.3853,-0.8565,0.0,0.0,0.0,91.23199,0.0,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.707105510027231,0.707108052343579,0.540757646043931,0.8411784401927017
2020-04-01 04:00:00,13.276144,7.7043357,10.08,1024.8835,-1.8565,0.0,0.0,0.0,93.56405,0.0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.7592575070085401,0.6507903180373665,0.60745122181318,0.7943569809082531
2020-04-01 05:00:00,10.990322,8.049845,10.799999,1024.4832,-2.3065,0.0,0.0,0.0,95.2967,0.0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.851658739729142,0.5240967382487413,0.8944276919238913,0.44721259365060445
2020-04-01 06:00:00,9.826088,4.0249224,9.72,1024.2849,-1.3565,0.0,0.0,0.0,97.10448,0.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.8792928694979291,0.4762814815317701,0.8944276919238913,0.44721259365060445
2020-04-01 07:00:00,7.928177,3.319036,10.799999,1024.1896,1.1935,0.0,0.0,0.0,87.15236,0.0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.7719305667898309,0.6357068507225091,0.6507903180373665,0.7592575070085401
2020-04-01 08:00:00,4.0249224,2.7416782,11.879999,1024.1947,3.9435,0.0,0.0,0.0,72.47984,0.0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.4472125624291878,0.8944277075345552,0.39391973951812126,0.9191448410440954
2020-04-01 09:00:00,6.0347,4.5536795,15.4800005,1023.89923,6.2435,0.0,0.0,0.0,59.548283,0.0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.298276615100344,0.9544794711696429,0.31622949094360947,0.9486827230731809
2020-04-01 10:00:00,6.638072,5.1544156,18.0,1023.2017,7.4935,0.0,0.0,0.0,53.861176,0.0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.2169302923972529,0.9761870969442499,0.20952878023089636,0.9778024801844966
2020-04-01 11:00:00,6.162207,5.0528407,18.0,1022.20355,8.2935,9.0,0.0,0.0,51.195415,0.0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,0.11683974286347878,0.993150781345711,0.07124566110316724,0.9974587990358161
2020-04-01 12:00:00,6.0347,4.896529,18.72,1021.6047,8.7435,12.0,0.0,0.0,48.223328,0.0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,-0.29827674837081636,0.9544794295223615,-0.2940870337393839,0.9557786441359581
2020-04-01 13:00:00,8.699793,6.9527545,20.519999,1020.90607,9.2935,3.0,0.0,0.0,47.67675,0.0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,-0.4138027094567222,0.9103665842100508,-0.3624474728965963,0.9320042003075261
2020-04-01 14:00:00,11.298495,8.891344,23.039999,1020.30664,9.4935,30.0,0.0,0.0,45.51147,0.0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,-0.38235285071289365,0.9240163946336254,-0.3644006119561805,0.9312422853403732
2020-04-01 15:00:00,13.207634,10.587917,24.48,1019.6064,9.0935,67.0,0.0,0.0,51.230553,0.0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,-0.29982845452915446,0.9539931330228005,-0.3060105277317764,0.9520281282175016
2020-04-01 16:00:00,16.327497,12.313893,26.64,1019.4046,8.0435,79.0,0.0,0.0,56.011814,0.0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,-0.24253658224750677,0.9701422608420367,-0.26311877469456735,0.9647634478996546
2020-04-01 17:00:00,18.25026,13.1041975,26.64,1019.3027,6.9435,0.0,0.0,0.0,59.941315,0.0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,-0.25643563617025705,0.9665613092307986,-0.2747223714099824,0.9615235923506379
2020-04-01 18:00:00,18.331741,8.891344,25.56,1018.99963,5.2435,1.0,0.0,0.0,68.88761,0.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,-0.33384848296846903,0.9426267503204286,-0.3644006119561805,0.9312422853403732
2020-04-01 19:00:00,17.399586,6.9247384,16.199999,1019.19604,3.1935,2.0,0.0,0.0,80.981865,0.0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,-0.4138027094567222,0.9103665842100508,-0.4678866247656643,0.8837884963979755
2020-04-01 20:00:00,16.58346,6.696387,11.5199995,1019.0941,2.1935,8.0,0.0,0.0,86.30807,0.0,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9999631612477099,0.008583481082087055,-0.4558745741893606,0.8900440284658221,-0.5913651029129612,0.8064039403777382
