"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2019-12-31 23:00:00","2020-01-01 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,63750,63750,0.07401604950428,0,0
"2020-01-01 00:00:00","2020-01-01 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,116000,116000,0.13468025624752,0,0
"2020-01-01 01:00:00","2020-01-01 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,110500,110500,0.12829424440861,0,0
"2020-01-01 02:00:00","2020-01-01 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,135251,135251,0.15703099966049,0,0
"2020-01-01 03:00:00","2020-01-01 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,142999,142999,0.16602699458599,0,0
"2020-01-01 04:00:00","2020-01-01 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,134500,134500,0.15615925192833,0,0
"2020-01-01 05:00:00","2020-01-01 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,110000,110000,0.12771399319172,0,0
"2020-01-01 06:00:00","2020-01-01 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,105750,105750,0.1227795034647,0,0
"2020-01-01 07:00:00","2020-01-01 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,85499,85499,0.099267527461052,0,0
"2020-01-01 08:00:00","2020-01-01 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,147750,147750,0.17154325544834,0,0
"2020-01-01 09:00:00","2020-01-01 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,170250,170250,0.1976662427187,0,0
"2020-01-01 10:00:00","2020-01-01 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,186500,186500,0.21653324365616,0,0
"2020-01-01 11:00:00","2020-01-01 12:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,274249,274249,0.31841298937798,0,0
"2020-01-01 12:00:00","2020-01-01 13:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,264251,264251,0.30680474638939,0,0
"2020-01-01 13:00:00","2020-01-01 14:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,233500,233500,0.27110174298286,0,0
"2020-01-01 14:00:00","2020-01-01 15:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,197500,197500,0.22930450737476,0,0
"2020-01-01 15:00:00","2020-01-01 16:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,221250,221250,0.25687900185585,0,0
"2020-01-01 16:00:00","2020-01-01 17:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,286250,286250,0.33234649896622,0,0
"2020-01-01 17:00:00","2020-01-01 18:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,417750,417750,0.4850224852562,0,0
"2020-01-01 18:00:00","2020-01-01 19:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,420250,420250,0.48792526125908,0,0
