"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2017-12-31 23:00:00","2018-01-01 00:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,871251,871251,1.0115519762039,0,0
"2018-01-01 00:00:00","2018-01-01 01:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,875750,875750,1.0167770385742,0,0
"2018-01-01 01:00:00","2018-01-01 02:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,875500,875500,1.0164870023727,0,0
"2018-01-01 02:00:00","2018-01-01 03:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,869750,869750,1.0098110437393,0,0
"2018-01-01 03:00:00","2018-01-01 04:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,869751,869751,1.0098110437393,0,0
"2018-01-01 04:00:00","2018-01-01 05:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,873000,873000,1.0135840177536,0,0
"2018-01-01 05:00:00","2018-01-01 06:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,871251,871251,1.0115519762039,0,0
"2018-01-01 06:00:00","2018-01-01 07:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,868251,868251,1.0080690383911,0,0
"2018-01-01 07:00:00","2018-01-01 08:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,788250,788250,0.91518598794937,0,0
"2018-01-01 08:00:00","2018-01-01 09:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,689750,689750,0.8008239865303,0,0
"2018-01-01 09:00:00","2018-01-01 10:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,863750,863750,1.0028450489044,0,0
"2018-01-01 10:00:00","2018-01-01 11:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,869999,869999,1.0101009607315,0,0
"2018-01-01 11:00:00","2018-01-01 12:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,869250,869250,1.009230017662,0,0
"2018-01-01 12:00:00","2018-01-01 13:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,872001,872001,1.0124230384827,0,0
"2018-01-01 13:00:00","2018-01-01 14:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,853250,853250,0.99065399169922,0,0
"2018-01-01 14:00:00","2018-01-01 15:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,787250,787250,0.91402500867844,0,0
"2018-01-01 15:00:00","2018-01-01 16:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,649001,649001,0.75351202487946,0,0
"2018-01-01 16:00:00","2018-01-01 17:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,467000,467000,0.54220402240753,0,0
"2018-01-01 17:00:00","2018-01-01 18:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,278000,278000,0.32276800274849,0,0
"2018-01-01 18:00:00","2018-01-01 19:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,239500,239500,0.27806800603867,0,0
"2018-01-01 19:00:00","2018-01-01 20:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,281001,281001,0.32625100016594,0,0
"2018-01-01 20:00:00","2018-01-01 21:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,306750,306750,0.35614800453186,0,0
"2018-01-01 21:00:00","2018-01-01 22:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,260501,260501,0.30245000123978,0,0
"2018-01-01 22:00:00","2018-01-01 23:00:00",Nederland,WindOffshoreC,Hour,UTC,Providing,Current,269250,269250,0.31260898709297,0,0
