"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","01.01.2018 14:00 - 01.01.2018 14:15 (CET/CEST)","0","753","485"
"BZN|NL","01.01.2018 14:15 - 01.01.2018 14:30 (CET/CEST)","0","754","462"
"BZN|NL","01.01.2018 14:30 - 01.01.2018 14:45 (CET/CEST)","0","738","458"
"BZN|NL","01.01.2018 14:45 - 01.01.2018 15:00 (CET/CEST)","0","726","406"
"BZN|NL","01.01.2018 15:00 - 01.01.2018 15:15 (CET/CEST)","0","707","321"
"BZN|NL","01.01.2018 15:15 - 01.01.2018 15:30 (CET/CEST)","0","699","255"
"BZN|NL","01.01.2018 15:30 - 01.01.2018 15:45 (CET/CEST)","0","693","225"
"BZN|NL","01.01.2018 15:45 - 01.01.2018 16:00 (CET/CEST)","0","682","188"
"BZN|NL","01.01.2018 16:00 - 01.01.2018 16:15 (CET/CEST)","0","649","155"
"BZN|NL","01.01.2018 16:15 - 01.01.2018 16:30 (CET/CEST)","0","616","174"
"BZN|NL","01.01.2018 16:30 - 01.01.2018 16:45 (CET/CEST)","0","559","161"
"BZN|NL","01.01.2018 16:45 - 01.01.2018 17:00 (CET/CEST)","0","549","153"
"BZN|NL","01.01.2018 17:00 - 01.01.2018 17:15 (CET/CEST)","0","489","127"
"BZN|NL","01.01.2018 17:15 - 01.01.2018 17:30 (CET/CEST)","0","457","104"
"BZN|NL","01.01.2018 17:30 - 01.01.2018 17:45 (CET/CEST)","0","418","99"
"BZN|NL","01.01.2018 17:45 - 01.01.2018 18:00 (CET/CEST)","0","357","86"
"BZN|NL","01.01.2018 18:00 - 01.01.2018 18:15 (CET/CEST)","0","275","79"
"BZN|NL","01.01.2018 18:15 - 01.01.2018 18:30 (CET/CEST)","0","225","69"
"BZN|NL","01.01.2018 18:30 - 01.01.2018 18:45 (CET/CEST)","0","255","65"
"BZN|NL","01.01.2018 18:45 - 01.01.2018 19:00 (CET/CEST)","0","263","59"
"BZN|NL","01.01.2018 19:00 - 01.01.2018 19:15 (CET/CEST)","0","238","54"
"BZN|NL","01.01.2018 19:15 - 01.01.2018 19:30 (CET/CEST)","0","224","54"
"BZN|NL","01.01.2018 19:30 - 01.01.2018 19:45 (CET/CEST)","0","184","48"
"BZN|NL","01.01.2018 19:45 - 01.01.2018 20:00 (CET/CEST)","0","190","58"
"BZN|NL","01.01.2018 20:00 - 01.01.2018 20:15 (CET/CEST)","0","230","76"
"BZN|NL","01.01.2018 20:15 - 01.01.2018 20:30 (CET/CEST)","0","226","89"
"BZN|NL","01.01.2018 20:30 - 01.01.2018 20:45 (CET/CEST)","0","224","111"
"BZN|NL","01.01.2018 20:45 - 01.01.2018 21:00 (CET/CEST)","0","223","121"
"BZN|NL","01.01.2018 21:00 - 01.01.2018 21:15 (CET/CEST)","0","227","149"
"BZN|NL","01.01.2018 21:15 - 01.01.2018 21:30 (CET/CEST)","0","262","163"
"BZN|NL","01.01.2018 21:30 - 01.01.2018 21:45 (CET/CEST)","0","252","177"
"BZN|NL","01.01.2018 21:45 - 01.01.2018 22:00 (CET/CEST)","0","249","164"
"BZN|NL","01.01.2018 22:00 - 01.01.2018 22:15 (CET/CEST)","0","247","186"
"BZN|NL","01.01.2018 22:15 - 01.01.2018 22:30 (CET/CEST)","0","226","250"
"BZN|NL","01.01.2018 22:30 - 01.01.2018 22:45 (CET/CEST)","0","187","196"
"BZN|NL","01.01.2018 22:45 - 01.01.2018 23:00 (CET/CEST)","0","203","156"
"BZN|NL","01.01.2018 23:00 - 01.01.2018 23:15 (CET/CEST)","0","220","164"
"BZN|NL","01.01.2018 23:15 - 01.01.2018 23:30 (CET/CEST)","0","238","193"
"BZN|NL","01.01.2018 23:30 - 01.01.2018 23:45 (CET/CEST)","0","232","273"
"BZN|NL","01.01.2018 23:45 - 02.01.2018 00:00 (CET/CEST)","0","173","204"
"BZN|NL","02.01.2018 00:00 - 02.01.2018 00:15 (CET/CEST)","0","251","135"
"BZN|NL","02.01.2018 00:15 - 02.01.2018 00:30 (CET/CEST)","0","294","135"
"BZN|NL","02.01.2018 00:30 - 02.01.2018 00:45 (CET/CEST)","0","264","150"
"BZN|NL","02.01.2018 00:45 - 02.01.2018 01:00 (CET/CEST)","0","223","186"
"BZN|NL","02.01.2018 01:00 - 02.01.2018 01:15 (CET/CEST)","0","210","201"
"BZN|NL","02.01.2018 01:15 - 02.01.2018 01:30 (CET/CEST)","0","203","202"
"BZN|NL","02.01.2018 01:30 - 02.01.2018 01:45 (CET/CEST)","0","218","238"
"BZN|NL","02.01.2018 01:45 - 02.01.2018 02:00 (CET/CEST)","0","216","210"
"BZN|NL","02.01.2018 02:00 - 02.01.2018 02:15 (CET/CEST)","0","251","213"
"BZN|NL","02.01.2018 02:15 - 02.01.2018 02:30 (CET/CEST)","0","261","211"
"BZN|NL","02.01.2018 02:30 - 02.01.2018 02:45 (CET/CEST)","0","267","184"
"BZN|NL","02.01.2018 02:45 - 02.01.2018 03:00 (CET/CEST)","0","277","173"
"BZN|NL","02.01.2018 03:00 - 02.01.2018 03:15 (CET/CEST)","0","313","189"
"BZN|NL","02.01.2018 03:15 - 02.01.2018 03:30 (CET/CEST)","0","297","188"
"BZN|NL","02.01.2018 03:30 - 02.01.2018 03:45 (CET/CEST)","0","285","182"
"BZN|NL","02.01.2018 03:45 - 02.01.2018 04:00 (CET/CEST)","0","296","207"
"BZN|NL","02.01.2018 04:00 - 02.01.2018 04:15 (CET/CEST)","0","322","226"
"BZN|NL","02.01.2018 04:15 - 02.01.2018 04:30 (CET/CEST)","0","348","224"
"BZN|NL","02.01.2018 04:30 - 02.01.2018 04:45 (CET/CEST)","0","438","200"
"BZN|NL","02.01.2018 04:45 - 02.01.2018 05:00 (CET/CEST)","0","433","185"
"BZN|NL","02.01.2018 05:00 - 02.01.2018 05:15 (CET/CEST)","0","451","152"
"BZN|NL","02.01.2018 05:15 - 02.01.2018 05:30 (CET/CEST)","0","453","159"
"BZN|NL","02.01.2018 05:30 - 02.01.2018 05:45 (CET/CEST)","0","460","202"
"BZN|NL","02.01.2018 05:45 - 02.01.2018 06:00 (CET/CEST)","0","474","295"
"BZN|NL","02.01.2018 06:00 - 02.01.2018 06:15 (CET/CEST)","0","481","276"
"BZN|NL","02.01.2018 06:15 - 02.01.2018 06:30 (CET/CEST)","0","531","239"
"BZN|NL","02.01.2018 06:30 - 02.01.2018 06:45 (CET/CEST)","0","542","223"
"BZN|NL","02.01.2018 06:45 - 02.01.2018 07:00 (CET/CEST)","0","556","279"
"BZN|NL","02.01.2018 07:00 - 02.01.2018 07:15 (CET/CEST)","0","567","345"
"BZN|NL","02.01.2018 07:15 - 02.01.2018 07:30 (CET/CEST)","0","529","368"
"BZN|NL","02.01.2018 07:30 - 02.01.2018 07:45 (CET/CEST)","0","582","354"
"BZN|NL","02.01.2018 07:45 - 02.01.2018 08:00 (CET/CEST)","0","609","310"
"BZN|NL","02.01.2018 08:00 - 02.01.2018 08:15 (CET/CEST)","0","586","284"
"BZN|NL","02.01.2018 08:15 - 02.01.2018 08:30 (CET/CEST)","0","535","294"
"BZN|NL","02.01.2018 08:30 - 02.01.2018 08:45 (CET/CEST)","0","534","285"
"BZN|NL","02.01.2018 08:45 - 02.01.2018 09:00 (CET/CEST)","0","526","313"
"BZN|NL","02.01.2018 09:00 - 02.01.2018 09:15 (CET/CEST)","0","497","359"
"BZN|NL","02.01.2018 09:15 - 02.01.2018 09:30 (CET/CEST)","0","534","423"
"BZN|NL","02.01.2018 09:30 - 02.01.2018 09:45 (CET/CEST)","0","522","451"
"BZN|NL","02.01.2018 09:45 - 02.01.2018 10:00 (CET/CEST)","0","490","469"
"BZN|NL","02.01.2018 10:00 - 02.01.2018 10:15 (CET/CEST)","0","474","353"
"BZN|NL","02.01.2018 10:15 - 02.01.2018 10:30 (CET/CEST)","0","500","255"
"BZN|NL","02.01.2018 10:30 - 02.01.2018 10:45 (CET/CEST)","0","530","314"
"BZN|NL","02.01.2018 10:45 - 02.01.2018 11:00 (CET/CEST)","0","554","299"
"BZN|NL","02.01.2018 11:00 - 02.01.2018 11:15 (CET/CEST)","0","533","251"
