"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","01.01.2020 00:00 - 01.01.2020 00:15 (CET/CEST)","0","49","137"
"BZN|NL","01.01.2020 00:15 - 01.01.2020 00:30 (CET/CEST)","0","59","136"
"BZN|NL","01.01.2020 00:30 - 01.01.2020 00:45 (CET/CEST)","0","63","126"
"BZN|NL","01.01.2020 00:45 - 01.01.2020 01:00 (CET/CEST)","0","84","124"
"BZN|NL","01.01.2020 01:00 - 01.01.2020 01:15 (CET/CEST)","0","107","112"
"BZN|NL","01.01.2020 01:15 - 01.01.2020 01:30 (CET/CEST)","0","117","120"
"BZN|NL","01.01.2020 01:30 - 01.01.2020 01:45 (CET/CEST)","0","124","123"
"BZN|NL","01.01.2020 01:45 - 01.01.2020 02:00 (CET/CEST)","0","116","123"
"BZN|NL","01.01.2020 02:00 - 01.01.2020 02:15 (CET/CEST)","0","109","125"
"BZN|NL","01.01.2020 02:15 - 01.01.2020 02:30 (CET/CEST)","0","119","124"
"BZN|NL","01.01.2020 02:30 - 01.01.2020 02:45 (CET/CEST)","0","112","121"
"BZN|NL","01.01.2020 02:45 - 01.01.2020 03:00 (CET/CEST)","0","102","123"
"BZN|NL","01.01.2020 03:00 - 01.01.2020 03:15 (CET/CEST)","0","113","120"
"BZN|NL","01.01.2020 03:15 - 01.01.2020 03:30 (CET/CEST)","0","147","111"
"BZN|NL","01.01.2020 03:30 - 01.01.2020 03:45 (CET/CEST)","0","139","104"
"BZN|NL","01.01.2020 03:45 - 01.01.2020 04:00 (CET/CEST)","0","142","94"
"BZN|NL","01.01.2020 04:00 - 01.01.2020 04:15 (CET/CEST)","0","131","94"
"BZN|NL","01.01.2020 04:15 - 01.01.2020 04:30 (CET/CEST)","0","122","105"
"BZN|NL","01.01.2020 04:30 - 01.01.2020 04:45 (CET/CEST)","0","147","113"
"BZN|NL","01.01.2020 04:45 - 01.01.2020 05:00 (CET/CEST)","0","172","113"
"BZN|NL","01.01.2020 05:00 - 01.01.2020 05:15 (CET/CEST)","0","168","113"
"BZN|NL","01.01.2020 05:15 - 01.01.2020 05:30 (CET/CEST)","0","149","115"
"BZN|NL","01.01.2020 05:30 - 01.01.2020 05:45 (CET/CEST)","0","117","106"
"BZN|NL","01.01.2020 05:45 - 01.01.2020 06:00 (CET/CEST)","0","104","100"
"BZN|NL","01.01.2020 06:00 - 01.01.2020 06:15 (CET/CEST)","0","101","102"
"BZN|NL","01.01.2020 06:15 - 01.01.2020 06:30 (CET/CEST)","0","108","99"
"BZN|NL","01.01.2020 06:30 - 01.01.2020 06:45 (CET/CEST)","0","111","97"
"BZN|NL","01.01.2020 06:45 - 01.01.2020 07:00 (CET/CEST)","0","120","100"
"BZN|NL","01.01.2020 07:00 - 01.01.2020 07:15 (CET/CEST)","0","113","92"
"BZN|NL","01.01.2020 07:15 - 01.01.2020 07:30 (CET/CEST)","0","105","98"
"BZN|NL","01.01.2020 07:30 - 01.01.2020 07:45 (CET/CEST)","0","99","91"
"BZN|NL","01.01.2020 07:45 - 01.01.2020 08:00 (CET/CEST)","0","106","80"
"BZN|NL","01.01.2020 08:00 - 01.01.2020 08:15 (CET/CEST)","0","92","81"
"BZN|NL","01.01.2020 08:15 - 01.01.2020 08:30 (CET/CEST)","0","74","82"
"BZN|NL","01.01.2020 08:30 - 01.01.2020 08:45 (CET/CEST)","0","81","95"
"BZN|NL","01.01.2020 08:45 - 01.01.2020 09:00 (CET/CEST)","0","95","89"
"BZN|NL","01.01.2020 09:00 - 01.01.2020 09:15 (CET/CEST)","0","117","88"
"BZN|NL","01.01.2020 09:15 - 01.01.2020 09:30 (CET/CEST)","1","142","98"
"BZN|NL","01.01.2020 09:30 - 01.01.2020 09:45 (CET/CEST)","1","164","106"
"BZN|NL","01.01.2020 09:45 - 01.01.2020 10:00 (CET/CEST)","2","168","114"
"BZN|NL","01.01.2020 10:00 - 01.01.2020 10:15 (CET/CEST)","4","168","115"
"BZN|NL","01.01.2020 10:15 - 01.01.2020 10:30 (CET/CEST)","6","172","104"
"BZN|NL","01.01.2020 10:30 - 01.01.2020 10:45 (CET/CEST)","6","180","101"
"BZN|NL","01.01.2020 10:45 - 01.01.2020 11:00 (CET/CEST)","7","161","104"
"BZN|NL","01.01.2020 11:00 - 01.01.2020 11:15 (CET/CEST)","8","156","104"
"BZN|NL","01.01.2020 11:15 - 01.01.2020 11:30 (CET/CEST)","9","175","97"
"BZN|NL","01.01.2020 11:30 - 01.01.2020 11:45 (CET/CEST)","10","199","95"
"BZN|NL","01.01.2020 11:45 - 01.01.2020 12:00 (CET/CEST)","10","216","86"
"BZN|NL","01.01.2020 12:00 - 01.01.2020 12:15 (CET/CEST)","12","237","79"
"BZN|NL","01.01.2020 12:15 - 01.01.2020 12:30 (CET/CEST)","12","286","84"
"BZN|NL","01.01.2020 12:30 - 01.01.2020 12:45 (CET/CEST)","11","293","78"
"BZN|NL","01.01.2020 12:45 - 01.01.2020 13:00 (CET/CEST)","11","281","71"
"BZN|NL","01.01.2020 13:00 - 01.01.2020 13:15 (CET/CEST)","10","277","82"
"BZN|NL","01.01.2020 13:15 - 01.01.2020 13:30 (CET/CEST)","11","268","80"
