"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","01.01.2023 00:00 - 01.01.2023 00:15 (CET/CEST)","1","1569","1833"
"BZN|NL","01.01.2023 00:15 - 01.01.2023 00:30 (CET/CEST)","1","1168","1738"
"BZN|NL","01.01.2023 00:30 - 01.01.2023 00:45 (CET/CEST)","1","1204","1768"
"BZN|NL","01.01.2023 00:45 - 01.01.2023 01:00 (CET/CEST)","1","1204","1831"
"BZN|NL","01.01.2023 01:00 - 01.01.2023 01:15 (CET/CEST)","1","1213","1881"
"BZN|NL","01.01.2023 01:15 - 01.01.2023 01:30 (CET/CEST)","1","1199","1900"
"BZN|NL","01.01.2023 01:30 - 01.01.2023 01:45 (CET/CEST)","1","1186","1841"
"BZN|NL","01.01.2023 01:45 - 01.01.2023 02:00 (CET/CEST)","1","1178","1853"
"BZN|NL","01.01.2023 02:00 - 01.01.2023 02:15 (CET/CEST)","1","1186","1890"
"BZN|NL","01.01.2023 02:15 - 01.01.2023 02:30 (CET/CEST)","1","1192","1862"
"BZN|NL","01.01.2023 02:30 - 01.01.2023 02:45 (CET/CEST)","1","1201","1807"
"BZN|NL","01.01.2023 02:45 - 01.01.2023 03:00 (CET/CEST)","1","1213","1801"
"BZN|NL","01.01.2023 03:00 - 01.01.2023 03:15 (CET/CEST)","1","1161","1785"
"BZN|NL","01.01.2023 03:15 - 01.01.2023 03:30 (CET/CEST)","1","1185","1786"
"BZN|NL","01.01.2023 03:30 - 01.01.2023 03:45 (CET/CEST)","1","1189","1768"
"BZN|NL","01.01.2023 03:45 - 01.01.2023 04:00 (CET/CEST)","1","1214","1775"
"BZN|NL","01.01.2023 04:00 - 01.01.2023 04:15 (CET/CEST)","1","1229","1792"
"BZN|NL","01.01.2023 04:15 - 01.01.2023 04:30 (CET/CEST)","1","1250","1783"
"BZN|NL","01.01.2023 04:30 - 01.01.2023 04:45 (CET/CEST)","1","1258","1765"
"BZN|NL","01.01.2023 04:45 - 01.01.2023 05:00 (CET/CEST)","1","1259","1760"
"BZN|NL","01.01.2023 05:00 - 01.01.2023 05:15 (CET/CEST)","1","1253","1764"
"BZN|NL","01.01.2023 05:15 - 01.01.2023 05:30 (CET/CEST)","1","1234","1762"
"BZN|NL","01.01.2023 05:30 - 01.01.2023 05:45 (CET/CEST)","1","1248","1767"
"BZN|NL","01.01.2023 05:45 - 01.01.2023 06:00 (CET/CEST)","1","1264","1776"
"BZN|NL","01.01.2023 06:00 - 01.01.2023 06:15 (CET/CEST)","1","1297","1835"
"BZN|NL","01.01.2023 06:15 - 01.01.2023 06:30 (CET/CEST)","1","1295","1829"
"BZN|NL","01.01.2023 06:30 - 01.01.2023 06:45 (CET/CEST)","1","1299","1812"
"BZN|NL","01.01.2023 06:45 - 01.01.2023 07:00 (CET/CEST)","1","1470","1800"
"BZN|NL","01.01.2023 07:00 - 01.01.2023 07:15 (CET/CEST)","1","1745","1670"
"BZN|NL","01.01.2023 07:15 - 01.01.2023 07:30 (CET/CEST)","1","1766","1648"
"BZN|NL","01.01.2023 07:30 - 01.01.2023 07:45 (CET/CEST)","1","1811","1721"
"BZN|NL","01.01.2023 07:45 - 01.01.2023 08:00 (CET/CEST)","1","1817","1744"
"BZN|NL","01.01.2023 08:00 - 01.01.2023 08:15 (CET/CEST)","1","2095","1879"
"BZN|NL","01.01.2023 08:15 - 01.01.2023 08:30 (CET/CEST)","1","2058","1960"
"BZN|NL","01.01.2023 08:30 - 01.01.2023 08:45 (CET/CEST)","1","2025","1964"
"BZN|NL","01.01.2023 08:45 - 01.01.2023 09:00 (CET/CEST)","1","1964","1947"
"BZN|NL","01.01.2023 09:00 - 01.01.2023 09:15 (CET/CEST)","1","2161","1872"
"BZN|NL","01.01.2023 09:15 - 01.01.2023 09:30 (CET/CEST)","2","2215","1900"
"BZN|NL","01.01.2023 09:30 - 01.01.2023 09:45 (CET/CEST)","6","2196","1924"
"BZN|NL","01.01.2023 09:45 - 01.01.2023 10:00 (CET/CEST)","14","2178","1950"
"BZN|NL","01.01.2023 10:00 - 01.01.2023 10:15 (CET/CEST)","22","1931","2032"
