"Area","MTU","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|NL","01.01.2022 00:00 - 01.01.2022 00:15 (CET/CEST)","0","1768","1544"
"BZN|NL","01.01.2022 00:15 - 01.01.2022 00:30 (CET/CEST)","0","1791","1575"
"BZN|NL","01.01.2022 00:30 - 01.01.2022 00:45 (CET/CEST)","0","1968","1599"
"BZN|NL","01.01.2022 00:45 - 01.01.2022 01:00 (CET/CEST)","0","1935","1539"
"BZN|NL","01.01.2022 01:00 - 01.01.2022 01:15 (CET/CEST)","0","1998","1516"
"BZN|NL","01.01.2022 01:15 - 01.01.2022 01:30 (CET/CEST)","0","1877","1519"
"BZN|NL","01.01.2022 01:30 - 01.01.2022 01:45 (CET/CEST)","0","1799","1458"
"BZN|NL","01.01.2022 01:45 - 01.01.2022 02:00 (CET/CEST)","0","1684","1418"
"BZN|NL","01.01.2022 02:00 - 01.01.2022 02:15 (CET/CEST)","0","1524","1344"
"BZN|NL","01.01.2022 02:15 - 01.01.2022 02:30 (CET/CEST)","0","1400","1325"
"BZN|NL","01.01.2022 02:30 - 01.01.2022 02:45 (CET/CEST)","0","1412","1371"
"BZN|NL","01.01.2022 02:45 - 01.01.2022 03:00 (CET/CEST)","0","1381","1436"
"BZN|NL","01.01.2022 03:00 - 01.01.2022 03:15 (CET/CEST)","0","1325","1362"
"BZN|NL","01.01.2022 03:15 - 01.01.2022 03:30 (CET/CEST)","0","1320","1405"
"BZN|NL","01.01.2022 03:30 - 01.01.2022 03:45 (CET/CEST)","0","1363","1442"
"BZN|NL","01.01.2022 03:45 - 01.01.2022 04:00 (CET/CEST)","0","1389","1403"
"BZN|NL","01.01.2022 04:00 - 01.01.2022 04:15 (CET/CEST)","0","1440","1434"
"BZN|NL","01.01.2022 04:15 - 01.01.2022 04:30 (CET/CEST)","0","1406","1424"
"BZN|NL","01.01.2022 04:30 - 01.01.2022 04:45 (CET/CEST)","0","1470","1405"
"BZN|NL","01.01.2022 04:45 - 01.01.2022 05:00 (CET/CEST)","0","1428","1377"
"BZN|NL","01.01.2022 05:00 - 01.01.2022 05:15 (CET/CEST)","0","1364","1286"
"BZN|NL","01.01.2022 05:15 - 01.01.2022 05:30 (CET/CEST)","0","1395","1237"
"BZN|NL","01.01.2022 05:30 - 01.01.2022 05:45 (CET/CEST)","0","1370","1317"
"BZN|NL","01.01.2022 05:45 - 01.01.2022 06:00 (CET/CEST)","0","1494","1332"
"BZN|NL","01.01.2022 06:00 - 01.01.2022 06:15 (CET/CEST)","0","1569","1258"
"BZN|NL","01.01.2022 06:15 - 01.01.2022 06:30 (CET/CEST)","0","1589","1319"
"BZN|NL","01.01.2022 06:30 - 01.01.2022 06:45 (CET/CEST)","0","1553","1244"
"BZN|NL","01.01.2022 06:45 - 01.01.2022 07:00 (CET/CEST)","0","1546","1053"
"BZN|NL","01.01.2022 07:00 - 01.01.2022 07:15 (CET/CEST)","0","1580","1028"
"BZN|NL","01.01.2022 07:15 - 01.01.2022 07:30 (CET/CEST)","0","1577","1015"
"BZN|NL","01.01.2022 07:30 - 01.01.2022 07:45 (CET/CEST)","0","1586","1005"
"BZN|NL","01.01.2022 07:45 - 01.01.2022 08:00 (CET/CEST)","0","1563","1018"
"BZN|NL","01.01.2022 08:00 - 01.01.2022 08:15 (CET/CEST)","0","1489","1044"
"BZN|NL","01.01.2022 08:15 - 01.01.2022 08:30 (CET/CEST)","0","1468","1078"
"BZN|NL","01.01.2022 08:30 - 01.01.2022 08:45 (CET/CEST)","0","1454","1140"
"BZN|NL","01.01.2022 08:45 - 01.01.2022 09:00 (CET/CEST)","0","1452","1196"
"BZN|NL","01.01.2022 09:00 - 01.01.2022 09:15 (CET/CEST)","2","1380","1268"
"BZN|NL","01.01.2022 09:15 - 01.01.2022 09:30 (CET/CEST)","5","1389","1199"
"BZN|NL","01.01.2022 09:30 - 01.01.2022 09:45 (CET/CEST)","7","1527","1158"
"BZN|NL","01.01.2022 09:45 - 01.01.2022 10:00 (CET/CEST)","9","1717","1176"
"BZN|NL","01.01.2022 10:00 - 01.01.2022 10:15 (CET/CEST)","12","1806","1221"
"BZN|NL","01.01.2022 10:15 - 01.01.2022 10:30 (CET/CEST)","16","1848","1297"
"BZN|NL","01.01.2022 10:30 - 01.01.2022 10:45 (CET/CEST)","29","1872","1319"
"BZN|NL","01.01.2022 10:45 - 01.01.2022 11:00 (CET/CEST)","37","1907","1366"
"BZN|NL","01.01.2022 11:00 - 01.01.2022 11:15 (CET/CEST)","36","1999","1413"
"BZN|NL","01.01.2022 11:15 - 01.01.2022 11:30 (CET/CEST)","35","2048","1414"
"BZN|NL","01.01.2022 11:30 - 01.01.2022 11:45 (CET/CEST)","37","2058","1363"
