"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2019-12-31 23:00:00","2020-01-01 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,217803,217803,0.069143496453762,0,0
"2020-01-01 00:00:00","2020-01-01 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,190181,190181,0.06037399917841,0,0
"2020-01-01 01:00:00","2020-01-01 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,177352,177352,0.056300699710846,0,0
"2020-01-01 02:00:00","2020-01-01 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,195697,195697,0.062123626470566,0,0
"2020-01-01 03:00:00","2020-01-01 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,188772,188772,0.059924624860287,0,0
"2020-01-01 04:00:00","2020-01-01 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,192253,192253,0.061028901487589,0,0
"2020-01-01 05:00:00","2020-01-01 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,190962,190962,0.060618449002504,0,0
"2020-01-01 06:00:00","2020-01-01 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,200030,200030,0.063496172428131,0,0
"2020-01-01 07:00:00","2020-01-01 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,228482,228482,0.072526946663857,0,0
"2020-01-01 08:00:00","2020-01-01 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,203994,203994,0.064753025770187,0,0
"2020-01-01 09:00:00","2020-01-01 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,272723,272723,0.086568400263786,0,0
"2020-01-01 10:00:00","2020-01-01 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,301487,301487,0.095697626471519,0,0
"2020-01-01 11:00:00","2020-01-01 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,280446,280446,0.089017823338509,0,0
"2020-01-01 12:00:00","2020-01-01 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,225473,225473,0.071567751467228,0,0
"2020-01-01 13:00:00","2020-01-01 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,187710,187710,0.059580601751804,0,0
"2020-01-01 14:00:00","2020-01-01 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,224520,224520,0.071263574063778,0,0
"2020-01-01 15:00:00","2020-01-01 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,261255,261255,0.082922451198101,0,0
"2020-01-01 16:00:00","2020-01-01 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,357664,357664,0.11352150142193,0,0
"2020-01-01 17:00:00","2020-01-01 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,365602,365602,0.11603975296021,0,0
"2020-01-01 18:00:00","2020-01-01 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,435821,435821,0.13832500576973,0,0
"2020-01-01 19:00:00","2020-01-01 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,496947,496947,0.15772399306297,0,0
"2020-01-01 20:00:00","2020-01-01 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,523829,523829,0.16625425219536,0,0
"2020-01-01 21:00:00","2020-01-01 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,484979,484979,0.15392200648785,0,0
"2020-01-01 22:00:00","2020-01-01 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,536309,536309,0.17021125555038,0,0
"2020-01-01 23:00:00","2020-01-02 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,478092,478092,0.15173274278641,0,0
"2020-01-02 00:00:00","2020-01-02 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,447376,447376,0.14198249578476,0,0
"2020-01-02 01:00:00","2020-01-02 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,457803,457803,0.14529000222683,0,0
"2020-01-02 02:00:00","2020-01-02 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,491953,491953,0.15612649917603,0,0
"2020-01-02 03:00:00","2020-01-02 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,613686,613686,0.19475725293159,0,0
"2020-01-02 04:00:00","2020-01-02 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,687057,687057,0.21803949773312,0,0
"2020-01-02 05:00:00","2020-01-02 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,851160,851160,0.27011498808861,0,0
"2020-01-02 06:00:00","2020-01-02 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,893596,893596,0.28357899188995,0,0
"2020-01-02 07:00:00","2020-01-02 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,964258,964258,0.30599999427795,0,0
"2020-01-02 08:00:00","2020-01-02 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,772987,772987,0.24529850482941,0,0
"2020-01-02 09:00:00","2020-01-02 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,797335,797335,0.25302198529243,0,0
"2020-01-02 10:00:00","2020-01-02 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,941551,941551,0.29878351092339,0,0
"2020-01-02 11:00:00","2020-01-02 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1063111,1063111,0.33735451102257,0,0
"2020-01-02 12:00:00","2020-01-02 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1129329,1129329,0.35836324095726,0,0
"2020-01-02 13:00:00","2020-01-02 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1262123,1262123,0.4004969894886,0,0
"2020-01-02 14:00:00","2020-01-02 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1228156,1228156,0.38971450924873,0,0
"2020-01-02 15:00:00","2020-01-02 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1243779,1243779,0.39466699957848,0,0
"2020-01-02 16:00:00","2020-01-02 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1353176,1353176,0.42937499284744,0,0
"2020-01-02 17:00:00","2020-01-02 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1501291,1501291,0.4763680100441,0,0
"2020-01-02 18:00:00","2020-01-02 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1715601,1715601,0.54436349868774,0,0
"2020-01-02 19:00:00","2020-01-02 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1907716,1907716,0.6053147315979,0,0
"2020-01-02 20:00:00","2020-01-02 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2096974,2096974,0.66535848379135,0,0
