date,wind_speed_100m,wind_speed_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,wind_direction_100m_sin,wind_direction_100m_cos,wind_direction_10m_sin,wind_direction_10m_cos
2017-01-01 00:00:00,34.875435,22.771244,45.0,1021.675,6.2194996,100.0,0.0,0.0,94.28916,0.0,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.7122486814006983,-0.7019272154881634,-0.6323762993107719,-0.7746613557355324
2017-01-01 01:00:00,38.692883,25.305208,46.079998,1021.1742,6.5195,100.0,0.0,0.0,95.2866,0.0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.7071055470513211,-0.70710801531962,-0.640183848699605,-0.7682217387344368
2017-01-01 02:00:00,37.97104,24.72495,46.079998,1020.3739,6.7194996,100.0,0.0,0.0,95.29397,0.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.7395115061309682,-0.673143916484363,-0.6697678515094987,-0.7425705522604233
2017-01-01 03:00:00,38.70628,25.233404,46.079998,1019.67365,6.4694996,100.0,0.0,0.0,96.27828,0.0,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.7254629085873301,-0.68826126453841,-0.6705387576197184,-0.7418745005253952
2017-01-01 04:00:00,39.724167,25.582806,46.8,1019.1741,6.2194996,100.0,0.0,0.0,95.60629,0.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6887503567076436,-0.7249985835400602,-0.6332374273957674,-0.773957596089857
2017-01-01 05:00:00,41.241608,27.333935,50.399998,1018.3738,6.0695,100.0,0.0,19.0,94.282486,0.0,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6983249685335136,-0.7157808591480128,-0.6453506354184871,-0.7638864819886231
2017-01-01 06:00:00,39.28456,25.992401,50.039997,1017.7736,5.8694997,100.0,0.0,94.0,92.32281,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6597997188197965,-0.7514415020780509,-0.5955600906897971,-0.8033107607754054
2017-01-01 07:00:00,40.23795,23.667091,47.88,1017.2753,4.4694996,87.0,3.0,94.0,92.23898,0.0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5547006678134193,-0.8320499799455238,-0.4411179105514941,-0.89744915677195
2017-01-01 08:00:00,39.24,22.862123,45.719997,1017.1772,3.2195,98.0,30.0,92.0,92.82218,0.0,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5504590293413468,-0.8348621784561703,-0.440902838820454,-0.8975548377230579
2017-01-01 09:00:00,37.045033,21.734581,42.839996,1017.0778,2.6195,99.0,96.0,100.0,91.1407,0.0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5636392260093576,-0.8260210789704899,-0.4472126404827279,-0.8944276685078936
2017-01-01 10:00:00,37.14286,22.057161,42.839996,1016.7783,2.4195,99.0,94.0,97.0,89.8256,0.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5524618406035239,-0.8335381902930222,-0.440672074573035,-0.8976681584480412
2017-01-01 11:00:00,34.20568,21.603,42.839996,1016.27814,2.3695,98.0,47.0,99.0,87.58317,0.0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5051780133790185,-0.8630151648716425,-0.3999446767387255,-0.9165392820541607
2017-01-01 12:00:00,31.235058,20.858265,43.199997,1015.5773,2.7195,99.0,56.0,91.0,88.88616,0.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.43796841968756584,-0.8989903577660754,-0.36244747289659635,-0.932004200307526
2017-01-01 13:00:00,32.535713,20.948164,41.039997,1015.1777,2.4195,100.0,86.0,99.0,89.8256,0.0,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.42046075036100133,-0.9073107281443683,-0.32652182806355873,-0.9451896612839308
2017-01-01 14:00:00,32.417995,20.447239,41.399998,1015.0771,2.5695,99.0,86.0,98.0,90.48527,0.0,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.499721102429436,-0.8661863655049699,-0.4401562355013285,-0.8979212038644032
2017-01-01 15:00:00,37.44346,23.584808,44.639996,1014.777,2.7195,95.0,96.0,97.0,90.49633,0.0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5480263877094425,-0.8364610441461933,-0.5189772138318964,-0.8547880740413275
2017-01-01 16:00:00,35.951363,20.774214,45.0,1015.17706,2.6695,100.0,44.0,99.0,91.79981,0.0,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5707720398073858,-0.8211085668619686,-0.4678864705154659,-0.8837885780595832
2017-01-01 17:00:00,40.88497,24.26998,43.56,1015.4765,3.3695,100.0,99.0,98.0,92.17217,0.1,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6427782506401433,-0.766052296193933,-0.5339926325882849,-0.8454891296411995
2017-01-01 18:00:00,17.193533,9.227524,45.0,1015.57404,4.9195,100.0,100.0,94.0,91.94217,0.2,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.33501088735478335,0.9422142566071481,-0.3511246636516816,0.9363287192944012
2017-01-01 19:00:00,37.63679,26.208395,48.96,1016.5731,5.9694996,100.0,100.0,97.0,81.94124,0.1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,0.3730403470440558,0.9278151213885504,0.3571386767933708,0.9340513720017118
2017-01-01 20:00:00,28.883131,18.175545,47.16,1017.27344,5.8694997,76.0,100.0,100.0,81.92805,0.1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,0.174495299432703,0.9846580068612103,0.13864635123223149,0.9903419557354867
2017-01-01 21:00:00,30.85307,20.008356,37.8,1017.6735,6.1695,9.0,100.0,96.0,81.67877,0.1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,0.19835913339749883,0.9801294068630904,0.14393831153341335,0.989586662436853
