date,wind_speed_100m,wind_speed_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,wind_direction_100m_sin,wind_direction_100m_cos,wind_direction_10m_sin,wind_direction_10m_cos
2017-01-01 00:00:00,30.871965,16.267857,30.599998,1025.0841,-1.5065,100.0,0.0,0.0,93.582115,0.0,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5247472528693078,-0.8512580810812399,-0.42046075036100133,-0.9073107281443683
2017-01-01 01:00:00,28.772987,15.941944,28.08,1024.5837,-1.9065,100.0,0.0,0.0,92.52493,0.0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5254922916603214,-0.8507983611911718,-0.42905605612255293,-0.9032778646156235
2017-01-01 02:00:00,29.162222,15.978484,28.8,1023.7838,-2.1065,100.0,0.0,0.0,91.82657,0.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.48144331977760635,-0.8764772272235699,-0.38301573848556825,-0.923741816782349
2017-01-01 03:00:00,30.77737,16.62249,30.239998,1022.9835,-2.3565,100.0,0.0,0.0,90.78721,0.0,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.40939173065851825,-0.9123587073451008,-0.3032049176274934,-0.9529253789917157
2017-01-01 04:00:00,29.49804,16.394829,30.599998,1022.2836,-2.6065,100.0,0.0,0.0,89.41806,0.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.4027387022439059,-0.9153149937124894,-0.3293736003146084,-0.9441996777248934
2017-01-01 05:00:00,28.512817,17.31746,32.399998,1021.48334,-2.8565,100.0,0.0,0.0,87.73069,0.0,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.4166544758933507,-0.9090649304191848,-0.353401862898585,-0.935471604753351
2017-01-01 06:00:00,28.36471,16.854767,32.039997,1020.58276,-3.4065,100.0,0.0,9.0,88.67832,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.40613864189811594,-0.9138114704670509,-0.34174459635980636,-0.9397928659331657
2017-01-01 07:00:00,27.14123,18.331741,34.2,1019.98346,-3.2565,97.0,0.0,45.0,88.024254,0.0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.37139165697606974,-0.9284762986358722,-0.33384848296846914,-0.9426267503204286
2017-01-01 08:00:00,27.792374,15.815435,34.56,1019.3834,-3.3565,88.0,4.0,54.0,89.3552,0.0,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.2849714161419645,-0.9585360149634667,-0.2048626699766992,-0.9787907265856262
2017-01-01 09:00:00,25.729298,17.418196,35.64,1019.28516,-2.6065,100.0,0.0,6.0,87.75465,0.0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.3078217838919051,-0.951444033751647,-0.31002206110542896,-0.9507293629776782
