date,wind_speed_100m,wind_speed_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,wind_direction_100m_sin,wind_direction_100m_cos,wind_direction_10m_sin,wind_direction_10m_cos
2017-01-01 00:00:00,30.45566,16.42247,29.88,1025.3712,-1.263,100.0,0.0,0.0,93.594635,0.0,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5437412943997276,-0.8392528848711267,-0.43842291288278534,-0.8987687964428748
2017-01-01 01:00:00,27.859905,15.778518,29.16,1024.871,-1.613,100.0,0.0,0.0,93.57663,0.0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.5427152548407582,-0.8399167531149326,-0.4563153788092661,-0.8898181134715993
2017-01-01 02:00:00,28.84721,15.844089,29.519999,1024.071,-1.863,100.0,0.0,0.0,93.21718,0.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.48670073273364767,-0.8735687704791939,-0.36354358679227183,-0.9315771897713092
2017-01-01 03:00:00,30.302078,16.516901,29.88,1023.37115,-2.113,100.0,0.0,0.0,92.51258,0.0,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.4039326695313563,-0.9147887179481785,-0.2833475668945764,-0.9590172867758555
2017-01-01 04:00:00,30.77737,16.279802,31.68,1022.67126,-2.213,100.0,0.0,0.0,90.12203,0.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.40939173065851825,-0.9123587073451008,-0.3095876146529154,-0.9508709212366934
2017-01-01 05:00:00,29.62518,17.31746,32.399998,1021.77106,-2.563,100.0,0.0,0.0,89.0869,0.0,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.4374650049032348,-0.8992354360705614,-0.353401862898585,-0.935471604753351
2017-01-01 06:00:00,29.144442,17.31746,32.399998,1020.9707,-3.213,100.0,0.0,0.0,88.69556,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.4323286005110505,-0.901716131152236,-0.353401862898585,-0.935471604753351
2017-01-01 07:00:00,26.474077,16.62249,32.399998,1020.37085,-3.463,97.0,0.0,29.0,89.34623,0.0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.38075036926937184,-0.9246778662330125,-0.3032049176274934,-0.9529253789917157
2017-01-01 08:00:00,26.674032,16.516901,31.68,1019.87067,-3.563,94.0,11.0,78.0,90.356514,0.0,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.36440028689127724,-0.9312424125401263,-0.2833475668945764,-0.9590172867758555
2017-01-01 09:00:00,26.758923,17.76081,36.719997,1019.6709,-3.013,94.0,0.0,0.0,88.047104,0.0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.3363379739472095,-0.9417413483972583,-0.3040417069943114,-0.9526587218978186
2017-01-01 10:00:00,25.620771,16.965895,35.28,1019.57166,-2.213,100.0,0.0,3.0,84.87545,0.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.33722785938876276,-0.9414230562568949,-0.29706807965569904,-0.9548563012567259
2017-01-01 11:00:00,26.525429,17.026896,33.12,1018.872,-1.213,100.0,2.0,24.0,81.56665,0.0,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.3121546867695348,-0.9500312897625076,-0.23257329721786335,-0.9725788715683739
2017-01-01 12:00:00,25.809765,17.193533,36.0,1018.1724,-0.663,100.0,7.0,91.0,83.17774,0.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.3905502195813559,-0.920581623749331,-0.33501105180218854,-0.9422141981367036
2017-01-01 13:00:00,28.412645,17.309973,33.12,1017.77277,-0.113000005,96.0,14.0,92.0,83.866356,0.0,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.3801132855411535,-0.9249399386744577,-0.2911630673597809,-0.956673438643325
2017-01-01 14:00:00,32.682766,18.25026,32.760002,1017.4727,0.187,93.0,25.0,90.0,86.096886,0.0,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.45161285143302726,-0.8922140059540259,-0.3747900946187029,-0.9271096941439582
