date,wind_speed_100m,wind_speed_10m,wind_gusts_10m,surface_pressure,temperature_2m,cloud_cover_low,cloud_cover_mid,cloud_cover_high,relative_humidity_2m,rain,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,wind_direction_100m_sin,wind_direction_100m_cos,wind_direction_10m_sin,wind_direction_10m_cos
2017-01-01 00:00:00,37.52471,22.682856,38.16,1020.5352,2.6805,100.0,0.0,0.0,98.24023,0.0,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6523688231898145,-0.7579016549196449,-0.5872287849574814,-0.8094209993058988
2017-01-01 01:00:00,36.71294,21.599998,36.719997,1020.0368,2.8805,100.0,0.0,0.0,98.243065,0.0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6667936904057512,-0.7452423595281465,-0.6000011498803196,-0.7999991375884691
2017-01-01 02:00:00,36.161636,21.533897,36.719997,1019.33746,2.7805,100.0,0.0,0.0,98.241646,0.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6869162966100064,-0.7267365419817512,-0.6185602176121359,-0.7857373970911828
2017-01-01 03:00:00,35.893642,21.479664,36.36,1018.63837,2.8305,100.0,0.0,0.0,97.89413,0.0,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.7121032474471034,-0.7020747573978782,-0.6368809360921589,-0.7709621736780445
2017-01-01 04:00:00,35.64182,21.533897,36.0,1018.1392,2.8805,100.0,0.0,0.0,97.54797,0.0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6969352133093427,-0.7171340937714934,-0.6185602176121359,-0.7857373970911828
2017-01-01 05:00:00,35.652725,21.313093,36.36,1017.53894,2.6805,100.0,0.0,0.0,97.54403,0.0,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6866240029762473,-0.7270127086488065,-0.608077872193819,-0.7938773843284852
2017-01-01 06:00:00,35.494247,21.26744,36.719997,1016.93854,2.3805,100.0,0.0,0.0,97.886475,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6491180555366398,-0.7606876822825066,-0.5586008163815859,-0.8294366328646364
2017-01-01 07:00:00,36.04497,21.26744,36.36,1016.3373,1.9805,100.0,0.0,0.0,97.87963,0.0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6392007872199945,-0.7690398907841772,-0.5586008163815859,-0.8294366328646364
2017-01-01 08:00:00,35.221176,21.096123,36.36,1015.9368,1.7804999,100.0,0.0,60.0,96.82937,0.0,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6541507942247713,-0.7563641572781599,-0.5972674104692081,-0.8020421687114753
2017-01-01 09:00:00,33.740276,21.096123,37.44,1015.8357,1.4805,100.0,1.0,91.0,96.12769,0.0,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.640183848699605,-0.7682217387344368,-0.5972674104692081,-0.8020421687114753
2017-01-01 10:00:00,34.802895,22.180206,37.079998,1015.6357,1.4305,100.0,58.0,100.0,95.43628,0.0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.0,1.0,-0.6309818655289678,-0.7757975801545036,-0.5843060394874836,-0.8115333956273464
